emotion,video_link
Sad,https://www.youtube.com/watch?v=zFdi834FiZ4
Sad,https://www.youtube.com/watch?v=Hq49zJc_Ezw
Sad,https://www.youtube.com/watch?v=1Z_cClBsABE
Sad,https://www.youtube.com/watch?v=pfdhc26gpsM
Sad,https://www.youtube.com/watch?v=gBvwiYnzlhw
Sad,https://www.youtube.com/watch?v=EmMd682Q5DI
Sad,https://www.youtube.com/watch?v=4_jaUTEK0HM
Sad,https://www.youtube.com/watch?v=t2VaF0ZX65w
Sad,https://www.youtube.com/watch?v=rfiaZ-PX01o
Sad,https://www.youtube.com/watch?v=7z3YeFqd7xQ
Sad,https://www.youtube.com/watch?v=awqW_Ym91UA
Sad,https://www.youtube.com/watch?v=eCnS5zlWCEs
Sad,https://www.youtube.com/watch?v=STJZyH2inrQ
Sad,https://www.youtube.com/watch?v=rF6P-qgd3Po
Sad,https://www.youtube.com/watch?v=o6MPAXnCm4o
Sad,https://www.youtube.com/watch?v=lfMM08lsSu0
Sad,https://www.youtube.com/watch?v=GOzafXB1r50
Sad,https://www.youtube.com/watch?v=mAfdNgWfWKU
Sad,https://www.youtube.com/watch?v=vNPn5TFPUxo
Sad,https://www.youtube.com/watch?v=NSQLc55wSuk
Sad,https://www.youtube.com/watch?v=0WDHzONk9X4
Sad,https://www.youtube.com/watch?v=x0904xxL1lw
Sad,https://www.youtube.com/watch?v=hRrlP5uFhKo
Sad,https://www.youtube.com/watch?v=f7dd7aojpUY
Sad,https://www.youtube.com/watch?v=ziTHTlmPdhQ
Sad,https://www.youtube.com/watch?v=394qX2nRu2Y
Sad,https://www.youtube.com/watch?v=HXVO-SyVfng
Sad,https://www.youtube.com/watch?v=SR6aBJZv-io
Sad,https://www.youtube.com/watch?v=GEH3Aev0uME
Sad,https://www.youtube.com/watch?v=y2mw61MRCbo
Sad,https://www.youtube.com/watch?v=El7h3EVzL-g
Sad,https://www.youtube.com/watch?v=6k_0F-WtQUs
Sad,https://www.youtube.com/watch?v=3EfX3kAM1Ks
Sad,https://www.youtube.com/watch?v=Lhn0e7cDKS0
Sad,https://www.youtube.com/watch?v=659FhVHfB-g
Sad,https://www.youtube.com/watch?v=1RfmrmZ7Hig
Sad,https://www.youtube.com/watch?v=7Sxs96H4s-o
Sad,https://www.youtube.com/watch?v=74pvvZAE5_c
Sad,https://www.youtube.com/watch?v=V9ubInQ7-iI
Sad,https://www.youtube.com/watch?v=cd3LxkV6lFg
Sad,https://www.youtube.com/watch?v=xLbIJqKxNjQ
Sad,https://www.youtube.com/watch?v=uAbE8Te5f8c
Sad,https://www.youtube.com/watch?v=80ygnCWU0fk
Sad,https://www.youtube.com/watch?v=Vc_UxAS_HBs
Sad,https://www.youtube.com/watch?v=qxB3pV3-nV4
Sad,https://www.youtube.com/watch?v=nZwnIa26JUI
Sad,https://www.youtube.com/watch?v=tZ4-1QWVLC4
Happy,https://www.youtube.com/watch?v=HGO60mKPGtE
Happy,https://www.youtube.com/watch?v=-qNuOfCEcJ8
Happy,https://www.youtube.com/watch?v=18xtp6gV1Qo
Happy,https://www.youtube.com/watch?v=2pPVZnL-Mus
Happy,https://www.youtube.com/watch?v=79IqRv72sUs
Happy,https://www.youtube.com/watch?v=8HJf9AsDJ6Q
Happy,https://www.youtube.com/watch?v=B1vPH5GW0G0
Happy,https://www.youtube.com/watch?v=BISoBXON4vE
Happy,https://www.youtube.com/watch?v=IorZqi-s5fY
Happy,https://www.youtube.com/watch?v=J9t8oUJC_e8
Happy,https://www.youtube.com/watch?v=LATgSE8bNpo
Happy,https://www.youtube.com/watch?v=MUriKk2oZNQ
Happy,https://www.youtube.com/watch?v=ND7kv4yo3-k
Happy,https://www.youtube.com/watch?v=Qr92eYhYOr0
Happy,https://www.youtube.com/watch?v=T0y797_LogQ
Happy,https://www.youtube.com/watch?v=_DUZk896AIo
Happy,https://www.youtube.com/watch?v=bKcEpor1UIg
Happy,https://www.youtube.com/watch?v=dr9FMrkUb4Q
Happy,https://www.youtube.com/watch?v=eRaqKvD3lmE
Happy,https://www.youtube.com/watch?v=hPL4A2UMEsg
Happy,https://www.youtube.com/watch?v=i86pRV9P-yQ
Happy,https://www.youtube.com/watch?v=ktJ6fIvmq_E
Happy,https://www.youtube.com/watch?v=lDZHODUTceo
Happy,https://www.youtube.com/watch?v=oBT9qDNDNZ0
Happy,https://www.youtube.com/watch?v=p31Q2ebQMEk
Happy,https://www.youtube.com/watch?v=t9_i30btmW0
Happy,https://www.youtube.com/watch?v=u71yA8ce9l0
Happy,https://www.youtube.com/watch?v=yLsVJ_YEamY
Happy,https://www.youtube.com/watch?v=zQuKkFMKYAE
Angry,https://www.youtube.com/watch?v=jFGKJBPFdUA
Angry,https://www.youtube.com/watch?v=zLVZxHWL0ro
Angry,https://www.youtube.com/watch?v=xutBFUf3LoU
Angry,https://www.youtube.com/watch?v=p3HR9QDMj18
Angry,https://www.youtube.com/watch?v=nCD2hj6zJEc
Angry,https://www.youtube.com/watch?v=zxlR20V4NFQ
Angry,https://www.youtube.com/watch?v=NbyHNASFi6U
Angry,https://www.youtube.com/watch?v=sB-S5LBU1eA
Angry,https://www.youtube.com/watch?v=PqFMFVcCZgI
Angry,https://www.youtube.com/watch?v=uaCYeQ9FtSI
Angry,https://www.youtube.com/watch?v=x8F5dz8kv1w
Angry,https://www.youtube.com/watch?v=OljkSVLIt6c
Angry,https://www.youtube.com/watch?v=8LZgzAZ2lpQ
Angry,https://www.youtube.com/watch?v=9vkcYxbGdTE
Angry,https://www.youtube.com/watch?v=4KFVySixs_E
Angry,https://www.youtube.com/watch?v=R_ha0AMNUn0
Angry,https://www.youtube.com/watch?v=asYxxtiWUyw
Angry,https://www.youtube.com/watch?v=1YBl3Zbt80A
Angry,https://www.youtube.com/watch?v=xvYBg6MWPbM
Angry,https://www.youtube.com/watch?v=AYmy75tnmTU
Angry,https://www.youtube.com/watch?v=PIyf0hMc498
